subject_index,color,Game_theoretic_value,Confirmed,0_pieces,1_pieces,value_Zeyan ,confirmed_Zeyan
2,0,0,0,4339015760,20992041,0,1
3,1,0,0,4339015764,20992041,0,1
2,0,1,1,4339015764,34380730409,1,1
3,1,0,0,4339146836,34380730409,0,1
2,0,0,0,4339146836,34381254697,0,1
3,1,0,0,4339147860,34381254697,0,1
2,0,0,0,4339147860,34918125609,0,1
3,1,0,0,4339410004,34918125609,0,1
2,0,0,0,4339410004,35052343337,0,1
3,1,0,0,4339412052,35052343337,0,1
2,0,0,0,4339412052,35052343339,0,1
3,1,0,0,4607847508,35052343339,0,1
2,0,0,1,4607847508,43642277931,0,1
3,1,0,1,4607913044,43642277931,0,1
2,0,0,1,4607913044,43642310699,0,1
3,1,0,1,21787782228,43642310699,0,1
2,0,0,1,21787782228,43642310827,0,1
3,1,0,1,23935265876,43642310827,0,1
3,0,0,0,0,0,0,0
2,1,0,0,33554432,0,0,0
3,0,0,0,33554432,8192,0,0
2,1,0,0,33554434,8192,0,0
3,0,0,0,33554434,8200,0,0
2,1,0,0,41943042,8200,0,0
3,0,0,0,41943042,16785416,0,0
2,1,-1,1,310378498,16785416,-1,1
3,0,0,0,310378498,18882568,1,1
2,1,-1,1,847249410,18882568,-1,1
3,0,1,1,847249410,19406856,1,1
2,1,-1,1,847253506,19406856,-1,1
3,0,0,0,847253506,19408904,0,0
2,1,0,0,981471234,19408904,0,1
3,0,0,0,981471234,1093150728,0,0
2,1,-1,1,981487618,1093150728,-1,1
3,0,1,1,981487618,1093151240,1,1
2,1,0,0,982536194,1093151240,1,1
3,0,1,1,982536194,1093151272,1,1
2,0,0,0,0,0,0,0
3,1,0,0,8192,0,0,0
2,0,0,0,8192,524288,0,0
3,1,0,0,10240,524288,0,0
2,0,1,1,10240,17180393472,0,0
3,1,1,1,14336,17180393472,1,1
2,0,1,1,14336,17180409856,1,1
3,0,0,0,0,0,0,0
2,1,0,0,4096,0,0,0
3,0,0,0,4096,2048,0,0
2,1,0,0,4098,2048,0,0
3,0,0,0,4098,3072,0,0
2,1,0,0,2101250,3072,0,0
3,0,0,0,2101250,3080,0,0
2,1,0,0,2625538,3080,0,0
3,0,0,0,2625538,1051656,0,0
2,1,0,0,2625542,1051656,0,0
3,0,0,0,2625542,5245960,0,0
2,1,-1,1,69734406,5245960,-1,1
3,0,-1,1,69734406,13634568,-1,1
2,1,-1,1,69767174,13634568,-1,1
3,0,0,0,69767174,13700104,0,1
2,1,-1,1,86544390,13700104,-1,1
3,0,0,0,86544390,13716488,0,0
2,1,-1,1,120098822,13716488,-1,1
3,0,-1,1,120098822,8603651080,-1,1
2,1,-1,1,120107014,8603651080,-1,1
3,0,-1,1,120107014,8603651112,-1,1
2,1,-1,1,4415074310,8603651112,-1,1
3,0,-1,1,4415074310,9677392936,-1,1
2,1,-1,1,4415074311,9677392936,-1,1
2,0,0,0,0,0,0,0
3,1,0,0,8388608,0,0,0
2,0,0,0,8388608,2048,0,0
3,1,0,0,10485760,2048,0,0
2,0,0,0,10485760,4196352,0,0
3,1,0,0,10489856,4196352,0,0
2,0,0,0,10489856,1077938176,0,0
3,1,0,0,10506240,1077938176,0,0
2,0,0,0,10506240,1077946368,0,0
3,1,0,0,2157989888,1077946368,0,0
2,0,0,0,2157989888,5372913664,0,0
3,1,0,0,10747924480,5372913664,0,0
2,0,0,0,10747924480,5372913920,0,1
3,1,0,0,10747924608,5372913920,0,1
2,0,1,1,10747924608,5372913984,1,1
3,0,0,0,0,0,0,0
2,1,0,0,262144,0,0,0
3,0,0,0,262144,4096,0,0
2,1,0,0,67371008,4096,0,0
3,0,0,0,67371008,2101248,0,0
2,1,-1,1,67371016,2101248,-1,1
3,0,-1,1,67371016,2103296,-1,1
2,1,-1,1,67372040,2103296,-1,1
3,0,0,0,67372040,136321024,0,0
2,1,0,0,67372042,136321024,-1,1
3,0,1,1,67372042,136845312,1,1
2,1,0,0,68420618,136845312,0,0
3,0,0,0,68420618,136845313,0,1
2,1,0,0,68428810,136845313,0,1
3,0,0,0,68428810,145233921,1,1
2,1,0,0,72623114,145233921,0,1
3,0,0,0,72623114,145233937,0,0
2,1,0,0,72639498,145233937,0,1
3,0,0,0,72639498,145234001,0,1
2,1,0,0,17252508682,145234001,0,1
3,0,0,0,17252508682,145234129,0,1
2,1,0,0,17252508714,145234129,0,1
3,0,0,0,17252508714,8735168721,0,1
2,1,-1,1,17286063146,8735168721,-1,1
3,0,-1,1,17286063146,8735201489,-1,1
2,1,-1,1,17302840362,8735201489,-1,1
3,0,0,1,17302840362,8735332561,0,1
2,1,0,1,19450324010,8735332561,0,1
3,0,0,1,19450324010,9809074385,0,1
2,1,0,1,19450389546,9809074385,0,1
3,0,0,1,19450389546,14104041681,0,1
2,1,0,1,19987260458,14104041681,0,1
3,0,0,1,19987260458,14104041937,0,1
2,0,0,0,0,0,0,0
3,1,0,0,8388608,0,0,0
2,0,0,0,8388608,1024,0,0
3,1,0,0,8392704,1024,0,0
2,0,0,0,8392704,9216,0,0
3,1,0,0,8916992,9216,0,0
2,0,0,0,8916992,11264,1,1
3,1,0,0,9965568,11264,0,0
2,0,0,0,9965568,2108416,0,0
3,1,0,0,9965570,2108416,0,0
2,0,0,0,9965570,270543872,0,0
